[2026-06-01T17:16:46.679+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-01T17:16:46.757+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-01T17:14:00+00:00 [queued]>
[2026-06-01T17:16:46.781+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-01T17:14:00+00:00 [queued]>
[2026-06-01T17:16:46.783+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-06-01T17:16:46.812+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-06-01 17:14:00+00:00
[2026-06-01T17:16:46.842+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-06-01T17:14:00+00:00', '--job-id', '433', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpdefeid_j']
[2026-06-01T17:16:46.852+0000] {standard_task_runner.py:91} INFO - Job 433: Subtask download_minio
[2026-06-01T17:16:46.856+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=996) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-01T17:16:46.858+0000] {standard_task_runner.py:64} INFO - Started process 1006 to run task
[2026-06-01T17:16:47.050+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-06-01T17:14:00+00:00 [running]> on host 0a790aba60c9
[2026-06-01T17:16:47.752+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-06-01T17:14:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-01T17:14:00+00:00'
[2026-06-01T17:16:47.754+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-06-01T17:16:48.348+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780331986.json -> /tmp/minio_downloads/1780331986.json
[2026-06-01T17:16:48.361+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780331998.json -> /tmp/minio_downloads/1780331998.json
[2026-06-01T17:16:48.374+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780332010.json -> /tmp/minio_downloads/1780332010.json
[2026-06-01T17:16:48.387+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780332023.json -> /tmp/minio_downloads/1780332023.json
[2026-06-01T17:16:48.400+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780332035.json -> /tmp/minio_downloads/1780332035.json
[2026-06-01T17:16:48.412+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780332047.json -> /tmp/minio_downloads/1780332047.json
[2026-06-01T17:16:48.424+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780332060.json -> /tmp/minio_downloads/1780332060.json
[2026-06-01T17:16:48.436+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780332071.json -> /tmp/minio_downloads/1780332071.json
[2026-06-01T17:16:48.450+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780332095.json -> /tmp/minio_downloads/1780332095.json
[2026-06-01T17:16:48.463+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780332112.json -> /tmp/minio_downloads/1780332112.json
