[2026-05-30T19:07:50.180+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-05-30T19:07:50.245+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-05-30T19:06:00+00:00 [queued]>
[2026-05-30T19:07:50.260+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-05-30T19:06:00+00:00 [queued]>
[2026-05-30T19:07:50.261+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-05-30T19:07:50.288+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-05-30 19:06:00+00:00
[2026-05-30T19:07:50.305+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-05-30T19:06:00+00:00', '--job-id', '386', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpdwfi4lcr']
[2026-05-30T19:07:50.330+0000] {standard_task_runner.py:91} INFO - Job 386: Subtask download_minio
[2026-05-30T19:07:50.331+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=57999) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-05-30T19:07:50.332+0000] {standard_task_runner.py:64} INFO - Started process 58012 to run task
[2026-05-30T19:07:50.432+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-05-30T19:06:00+00:00 [running]> on host 0a790aba60c9
[2026-05-30T19:07:50.604+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-05-30T19:06:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-30T19:06:00+00:00'
[2026-05-30T19:07:50.607+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-05-30T19:07:51.988+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158375.json -> /tmp/minio_downloads/1780158375.json
[2026-05-30T19:07:52.007+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158387.json -> /tmp/minio_downloads/1780158387.json
[2026-05-30T19:07:52.028+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158400.json -> /tmp/minio_downloads/1780158400.json
[2026-05-30T19:07:52.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158413.json -> /tmp/minio_downloads/1780158413.json
[2026-05-30T19:07:52.057+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158431.json -> /tmp/minio_downloads/1780158431.json
[2026-05-30T19:07:52.075+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158455.json -> /tmp/minio_downloads/1780158455.json
[2026-05-30T19:07:52.091+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158469.json -> /tmp/minio_downloads/1780158469.json
[2026-05-30T19:07:52.105+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158486.json -> /tmp/minio_downloads/1780158486.json
[2026-05-30T19:07:52.123+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158502.json -> /tmp/minio_downloads/1780158502.json
[2026-05-30T19:07:52.138+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158513.json -> /tmp/minio_downloads/1780158513.json
[2026-05-30T19:07:52.151+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158527.json -> /tmp/minio_downloads/1780158527.json
[2026-05-30T19:07:52.171+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158541.json -> /tmp/minio_downloads/1780158541.json
[2026-05-30T19:07:52.186+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158557.json -> /tmp/minio_downloads/1780158557.json
[2026-05-30T19:07:52.203+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158572.json -> /tmp/minio_downloads/1780158572.json
[2026-05-30T19:07:52.217+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158584.json -> /tmp/minio_downloads/1780158584.json
[2026-05-30T19:07:52.239+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158595.json -> /tmp/minio_downloads/1780158595.json
[2026-05-30T19:07:52.253+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158612.json -> /tmp/minio_downloads/1780158612.json
[2026-05-30T19:07:52.270+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158624.json -> /tmp/minio_downloads/1780158624.json
[2026-05-30T19:07:52.286+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158641.json -> /tmp/minio_downloads/1780158641.json
[2026-05-30T19:07:52.304+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158656.json -> /tmp/minio_downloads/1780158656.json
[2026-05-30T19:07:52.321+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158671.json -> /tmp/minio_downloads/1780158671.json
[2026-05-30T19:07:52.335+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158686.json -> /tmp/minio_downloads/1780158686.json
[2026-05-30T19:07:52.354+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158698.json -> /tmp/minio_downloads/1780158698.json
[2026-05-30T19:07:52.371+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158712.json -> /tmp/minio_downloads/1780158712.json
[2026-05-30T19:07:52.391+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158727.json -> /tmp/minio_downloads/1780158727.json
[2026-05-30T19:07:52.409+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158742.json -> /tmp/minio_downloads/1780158742.json
[2026-05-30T19:07:52.428+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158753.json -> /tmp/minio_downloads/1780158753.json
[2026-05-30T19:07:52.445+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158763.json -> /tmp/minio_downloads/1780158763.json
[2026-05-30T19:07:52.466+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158774.json -> /tmp/minio_downloads/1780158774.json
[2026-05-30T19:07:52.516+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158788.json -> /tmp/minio_downloads/1780158788.json
[2026-05-30T19:07:52.590+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158801.json -> /tmp/minio_downloads/1780158801.json
[2026-05-30T19:07:52.611+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158813.json -> /tmp/minio_downloads/1780158813.json
[2026-05-30T19:07:52.630+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158826.json -> /tmp/minio_downloads/1780158826.json
[2026-05-30T19:07:52.651+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158839.json -> /tmp/minio_downloads/1780158839.json
[2026-05-30T19:07:52.671+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158853.json -> /tmp/minio_downloads/1780158853.json
[2026-05-30T19:07:52.690+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158867.json -> /tmp/minio_downloads/1780158867.json
[2026-05-30T19:07:52.708+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158881.json -> /tmp/minio_downloads/1780158881.json
[2026-05-30T19:07:52.735+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158896.json -> /tmp/minio_downloads/1780158896.json
[2026-05-30T19:07:52.758+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158909.json -> /tmp/minio_downloads/1780158909.json
[2026-05-30T19:07:52.775+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158921.json -> /tmp/minio_downloads/1780158921.json
[2026-05-30T19:07:52.790+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158936.json -> /tmp/minio_downloads/1780158936.json
[2026-05-30T19:07:52.806+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158949.json -> /tmp/minio_downloads/1780158949.json
[2026-05-30T19:07:52.820+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158964.json -> /tmp/minio_downloads/1780158964.json
[2026-05-30T19:07:52.838+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158982.json -> /tmp/minio_downloads/1780158982.json
[2026-05-30T19:07:52.854+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780158997.json -> /tmp/minio_downloads/1780158997.json
[2026-05-30T19:07:52.872+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159011.json -> /tmp/minio_downloads/1780159011.json
[2026-05-30T19:07:52.891+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159022.json -> /tmp/minio_downloads/1780159022.json
[2026-05-30T19:07:52.905+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159034.json -> /tmp/minio_downloads/1780159034.json
[2026-05-30T19:07:52.921+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159048.json -> /tmp/minio_downloads/1780159048.json
[2026-05-30T19:07:52.939+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159062.json -> /tmp/minio_downloads/1780159062.json
[2026-05-30T19:07:52.957+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159079.json -> /tmp/minio_downloads/1780159079.json
[2026-05-30T19:07:52.975+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159091.json -> /tmp/minio_downloads/1780159091.json
[2026-05-30T19:07:52.995+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159103.json -> /tmp/minio_downloads/1780159103.json
[2026-05-30T19:07:53.012+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159114.json -> /tmp/minio_downloads/1780159114.json
[2026-05-30T19:07:53.035+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159128.json -> /tmp/minio_downloads/1780159128.json
[2026-05-30T19:07:53.055+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159143.json -> /tmp/minio_downloads/1780159143.json
[2026-05-30T19:07:53.074+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159158.json -> /tmp/minio_downloads/1780159158.json
[2026-05-30T19:07:53.092+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159173.json -> /tmp/minio_downloads/1780159173.json
[2026-05-30T19:07:53.111+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159189.json -> /tmp/minio_downloads/1780159189.json
[2026-05-30T19:07:53.136+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159203.json -> /tmp/minio_downloads/1780159203.json
[2026-05-30T19:07:53.162+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159214.json -> /tmp/minio_downloads/1780159214.json
[2026-05-30T19:07:53.178+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159229.json -> /tmp/minio_downloads/1780159229.json
[2026-05-30T19:07:53.195+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159243.json -> /tmp/minio_downloads/1780159243.json
[2026-05-30T19:07:53.215+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159256.json -> /tmp/minio_downloads/1780159256.json
[2026-05-30T19:07:53.246+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159268.json -> /tmp/minio_downloads/1780159268.json
[2026-05-30T19:07:53.270+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159283.json -> /tmp/minio_downloads/1780159283.json
[2026-05-30T19:07:53.306+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159298.json -> /tmp/minio_downloads/1780159298.json
[2026-05-30T19:07:53.331+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159311.json -> /tmp/minio_downloads/1780159311.json
[2026-05-30T19:07:53.361+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159324.json -> /tmp/minio_downloads/1780159324.json
[2026-05-30T19:07:53.390+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159337.json -> /tmp/minio_downloads/1780159337.json
[2026-05-30T19:07:53.420+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159349.json -> /tmp/minio_downloads/1780159349.json
[2026-05-30T19:07:53.444+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159360.json -> /tmp/minio_downloads/1780159360.json
[2026-05-30T19:07:53.475+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159373.json -> /tmp/minio_downloads/1780159373.json
[2026-05-30T19:07:53.515+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159387.json -> /tmp/minio_downloads/1780159387.json
[2026-05-30T19:07:53.546+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159400.json -> /tmp/minio_downloads/1780159400.json
[2026-05-30T19:07:53.568+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159412.json -> /tmp/minio_downloads/1780159412.json
[2026-05-30T19:07:53.588+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159423.json -> /tmp/minio_downloads/1780159423.json
[2026-05-30T19:07:53.611+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159436.json -> /tmp/minio_downloads/1780159436.json
[2026-05-30T19:07:53.638+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1780159447.json -> /tmp/minio_downloads/1780159447.json
