[2026-06-01T17:44:37.421+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-01T17:44:37.474+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-06-01T17:38:00+00:00 [queued]>
[2026-06-01T17:44:37.498+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-06-01T17:38:00+00:00 [queued]>
[2026-06-01T17:44:37.501+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-06-01T17:44:37.531+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-06-01 17:38:00+00:00
[2026-06-01T17:44:37.552+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2026-06-01T17:38:00+00:00', '--job-id', '441', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpdrf6lcz7']
[2026-06-01T17:44:37.558+0000] {standard_task_runner.py:91} INFO - Job 441: Subtask load_snowflake
[2026-06-01T17:44:37.559+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=8179) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-01T17:44:37.561+0000] {standard_task_runner.py:64} INFO - Started process 8192 to run task
[2026-06-01T17:44:37.720+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-06-01T17:38:00+00:00 [running]> on host 0a790aba60c9
[2026-06-01T17:44:37.959+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-06-01T17:38:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-01T17:38:00+00:00'
[2026-06-01T17:44:37.963+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-06-01T17:44:38.035+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-06-01T17:44:38.037+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-06-01T17:44:40.509+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780331986.json to Snowflake stage
[2026-06-01T17:44:40.932+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780331998.json to Snowflake stage
[2026-06-01T17:44:41.337+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332010.json to Snowflake stage
[2026-06-01T17:44:41.749+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332023.json to Snowflake stage
[2026-06-01T17:44:42.266+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332035.json to Snowflake stage
[2026-06-01T17:44:42.624+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332047.json to Snowflake stage
[2026-06-01T17:44:42.971+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332060.json to Snowflake stage
[2026-06-01T17:44:43.322+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332071.json to Snowflake stage
[2026-06-01T17:44:43.652+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332095.json to Snowflake stage
[2026-06-01T17:44:44.012+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332112.json to Snowflake stage
[2026-06-01T17:44:44.358+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332123.json to Snowflake stage
[2026-06-01T17:44:44.695+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332136.json to Snowflake stage
[2026-06-01T17:44:45.029+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332148.json to Snowflake stage
[2026-06-01T17:44:45.361+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332159.json to Snowflake stage
[2026-06-01T17:44:45.699+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332189.json to Snowflake stage
[2026-06-01T17:44:46.030+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332201.json to Snowflake stage
[2026-06-01T17:44:46.371+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332213.json to Snowflake stage
[2026-06-01T17:44:46.704+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332227.json to Snowflake stage
[2026-06-01T17:44:47.044+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332245.json to Snowflake stage
[2026-06-01T17:44:47.381+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332262.json to Snowflake stage
[2026-06-01T17:44:47.714+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332276.json to Snowflake stage
[2026-06-01T17:44:48.045+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332287.json to Snowflake stage
[2026-06-01T17:44:48.373+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332300.json to Snowflake stage
[2026-06-01T17:44:48.710+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332312.json to Snowflake stage
[2026-06-01T17:44:49.035+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332325.json to Snowflake stage
[2026-06-01T17:44:49.365+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332339.json to Snowflake stage
[2026-06-01T17:44:49.695+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332351.json to Snowflake stage
[2026-06-01T17:44:50.030+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332363.json to Snowflake stage
[2026-06-01T17:44:50.370+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332376.json to Snowflake stage
[2026-06-01T17:44:50.701+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332388.json to Snowflake stage
[2026-06-01T17:44:51.030+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332400.json to Snowflake stage
[2026-06-01T17:44:51.403+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332412.json to Snowflake stage
[2026-06-01T17:44:51.782+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332427.json to Snowflake stage
[2026-06-01T17:44:52.128+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332444.json to Snowflake stage
[2026-06-01T17:44:52.458+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332461.json to Snowflake stage
[2026-06-01T17:44:52.792+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332478.json to Snowflake stage
[2026-06-01T17:44:53.126+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332495.json to Snowflake stage
[2026-06-01T17:44:53.458+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332512.json to Snowflake stage
[2026-06-01T17:44:53.794+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780332531.json to Snowflake stage
