[2026-05-30T19:28:49.076+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-05-30T19:28:49.109+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-05-30T19:22:00+00:00 [queued]>
[2026-05-30T19:28:49.119+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-05-30T19:22:00+00:00 [queued]>
[2026-05-30T19:28:49.121+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-05-30T19:28:49.136+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-05-30 19:22:00+00:00
[2026-05-30T19:28:49.149+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2026-05-30T19:22:00+00:00', '--job-id', '395', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpaa0r0o9w']
[2026-05-30T19:28:49.153+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=67472) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-05-30T19:28:49.154+0000] {standard_task_runner.py:91} INFO - Job 395: Subtask load_snowflake
[2026-05-30T19:28:49.154+0000] {standard_task_runner.py:64} INFO - Started process 67482 to run task
[2026-05-30T19:28:49.233+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-05-30T19:22:00+00:00 [running]> on host 0a790aba60c9
[2026-05-30T19:28:49.365+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-05-30T19:22:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-30T19:22:00+00:00'
[2026-05-30T19:28:49.367+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-05-30T19:28:49.399+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-05-30T19:28:49.401+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-05-30T19:28:51.543+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158375.json to Snowflake stage
[2026-05-30T19:28:51.903+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158387.json to Snowflake stage
[2026-05-30T19:28:52.232+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158400.json to Snowflake stage
[2026-05-30T19:28:52.592+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158413.json to Snowflake stage
[2026-05-30T19:28:52.925+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158431.json to Snowflake stage
[2026-05-30T19:28:53.296+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158455.json to Snowflake stage
[2026-05-30T19:28:53.621+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158469.json to Snowflake stage
[2026-05-30T19:28:53.950+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158486.json to Snowflake stage
[2026-05-30T19:28:54.276+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158502.json to Snowflake stage
[2026-05-30T19:28:54.603+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158513.json to Snowflake stage
[2026-05-30T19:28:54.933+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158527.json to Snowflake stage
[2026-05-30T19:28:55.262+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158541.json to Snowflake stage
[2026-05-30T19:28:55.584+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158557.json to Snowflake stage
[2026-05-30T19:28:55.925+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158572.json to Snowflake stage
[2026-05-30T19:28:56.257+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158584.json to Snowflake stage
[2026-05-30T19:28:56.593+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158595.json to Snowflake stage
[2026-05-30T19:28:56.921+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158612.json to Snowflake stage
[2026-05-30T19:28:57.252+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158624.json to Snowflake stage
[2026-05-30T19:28:57.593+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158641.json to Snowflake stage
[2026-05-30T19:28:57.952+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158656.json to Snowflake stage
[2026-05-30T19:28:58.311+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158671.json to Snowflake stage
[2026-05-30T19:28:58.668+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158686.json to Snowflake stage
[2026-05-30T19:28:59.331+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158698.json to Snowflake stage
[2026-05-30T19:28:59.718+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158712.json to Snowflake stage
[2026-05-30T19:29:00.101+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1780158727.json to Snowflake stage
